Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Johan Petro|Seattle SuperSonics|Elan Bearnais Pau-Orthez (France)|2005|1|25|25
Jason Maxiell|Detroit Pistons|Cincinnati|2005|1|26|26
Linas Kleiza|Portland Trail Blazers|Missouri|2005|1|27|27
Ian Mahinmi|San Antonio Spurs|STB Le Havre (France)|2005|1|28|28
Wayne Simien|Miami Heat|Kansas|2005|1|29|29
David Lee|New York Knicks|Florida|2005|1|30|30
Salim Stoudamire|Atlanta Hawks|Arizona|2005|2|1|31
Daniel Ewing|Los Angeles Clippers|Duke|2005|2|2|32
Brandon Bass|New Orleans/Oklahoma City Hornets|Louisiana State|2005|2|3|33
CJ Miles|Utah Jazz|Skyline|2005|2|4|34
Ricky Sanchez|Portland Trail Blazers|IMG Academy|2005|2|5|35
Ersan Ilyasova|Milwaukee Bucks|Ulkerspor (Turkey)|2005|2|6|36
Ronny Turiaf|Los Angeles Lakers|Gonzaga|2005|2|7|37
Travis Diener|Orlando Magic|Marquette|2005|2|8|38
Von Wafer|Los Angeles Lakers|Florida State|2005|2|9|39
Monta Ellis|Golden State Warriors|Lanier|2005|2|10|40
Roko Ukic|Toronto Raptors|KK Split (Croatia)|2005|2|11|41
Chris Taft|Golden State Warriors|Pittsburgh|2005|2|12|42
Mile Ilic|New Jersey Nets|KK FMP (Serbia)|2005|2|13|43
Martynas Andriuskevicius|Orlando Magic|BC Zalgiris (Lithuania)|2005|2|14|44
Lou Williams|Philadelphia 76ers|South Gwinnett|2005|2|15|45
Erazem Lorbek|Indiana Pacers|Fortitudo Pallacanestro Bologna (Italy)|2005|2|16|46
Bracey Wright|Minnesota Timberwolves|Indiana|2005|2|17|47
Mickael Gelabale|Seattle SuperSonics|Real Madrid Baloncesto (Spain)|2005|2|18|48
Andray Blatche|Washington Wizards|South Kent School|2005|2|19|49
Ryan Gomes|Boston Celtics|Providence|2005|2|20|50
Robert Whaley|Utah Jazz|Walsh|2005|2|21|51
Axel Hervelle|Denver Nuggets|Real Madrid Baloncesto (Spain)|2005|2|22|52
Orien Greene|Boston Celtics|Louisiana-Lafayette|2005|2|23|53
Dijon Thompson|New York Knicks|California-Los Angeles|2005|2|24|54
Lawrence Roberts|Seattle SuperSonics|Mississippi|2005|2|25|55
Amir Johnson|Detroit Pistons|Westchester|2005|2|26|56
Marcin Gortat|Phoenix Suns|Koln 99ers (Germany)|2005|2|27|57
Uros Slokar|Toronto Raptors|Pallalcesto Amatori Udine (Italy)|2005|2|28|58
Cenk Akyol|Atlanta Hawks|Anadolu Efes S.K. (Turkey)|2005|2|29|59
Alex Acker|Detroit Pistons|Pepperdine|2005|2|30|60
Dwight Howard|Orlando Magic|Southwest Atlanta Christian Academy|2004|1|1|1
Emeka Okafor|Charlotte Bobcats|Connecticut|2004|1|2|2
Ben Gordon|Chicago Bulls|Connecticut|2004|1|3|3
Shaun Livingston|Los Angeles Clippers|Peoria|2004|1|4|4
Devin Harris|Washington Wizards|Wisconsin|2004|1|5|5
Josh Childress|Atlanta Hawks|Stanford|2004|1|6|6
Luol Deng|Phoenix Suns|Duke|2004|1|7|7
Rafael Araujo|Toronto Raptors|Brigham Young|2004|1|8|8
Andre Iguodala|Philadelphia 76ers|Arizona|2004|1|9|9
Luke Jackson|Cleveland Cavaliers|Oregon|2004|1|10|10
Andris Biedrins|Golden State Warriors|BK Skonto (Latvia)|2004|1|11|11
Robert Swift|Seattle SuperSonics|Bakersfield|2004|1|12|12
Sebastian Telfair|Portland Trail Blazers|Abraham Lincoln|2004|1|13|13
Kris Humphries|Utah Jazz|Minnesota|2004|1|14|14
