Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Chris Kaman|Los Angeles Clippers|Central Michigan|2003|1|6|6
Kirk Hinrich|Chicago Bulls|Kansas|2003|1|7|7
T.J. Ford|Milwaukee Bucks|Texas|2003|1|8|8
Michael Sweetney|New York Knicks|Georgetown|2003|1|9|9
Jarvis Hayes|Washington Wizards|Georgia|2003|1|10|10
Mickael Pietrus|Golden State Warriors|Elan Bearnais Pau-Orthez (France)|2003|1|11|11
Nick Collison|Seattle SuperSonics|Kansas|2003|1|12|12
Marcus Banks|Memphis Grizzlies|Nevada-Las Vegas|2003|1|13|13
Luke Ridnour|Seattle SuperSonics|Oregon|2003|1|14|14
Reece Gaines|Orlando Magic|Louisville|2003|1|15|15
Troy Bell|Boston Celtics|Boston College|2003|1|16|16
Zarko Cabarkapa|Phoenix Suns|KK Buducnost Podgorica (Montenegro)|2003|1|17|17
David West|New Orleans Hornets|Xavier|2003|1|18|18
Sasha Pavlovic|Utah Jazz|KK Buducnost Podgorica (Montenegro)|2003|1|19|19
Dahntay Jones|Boston Celtics|Duke|2003|1|20|20
Boris Diaw|Atlanta Hawks|Elan Bearnais Pau-Orthez (France)|2003|1|21|21
Zoran Planinic|New Jersey Nets|KK Cibona (Croatia)|2003|1|22|22
Travis Outlaw|Portland Trail Blazers|Starkville|2003|1|23|23
Brian Cook|Los Angeles Lakers|Illinois|2003|1|24|24
Carlos Delfino|Detroit Pistons|Fortitudo Pallacanestro Bologna (Italy)|2003|1|25|25
Ndudi Ebi|Minnesota Timberwolves|Westbury Christian School|2003|1|26|26
Kendrick Perkins|Memphis Grizzlies|Clifton J. Ozen|2003|1|27|27
Leandro Barbosa|San Antonio Spurs|Associacao Bauru Basketball Team (Brazil)|2003|1|28|28
Josh Howard|Dallas Mavericks|Wake Forest|2003|1|29|29
Maciej Lampe|New York Knicks|Madrid (ESP)|2003|2|1|30
Jason Kapono|Cleveland Cavaliers|California-Los Angeles|2003|2|2|31
Luke Walton|Los Angeles Lakers|Arizona|2003|2|3|32
Jerome Beasley|Miami Heat|North Dakota|2003|2|4|33
Sofoklis Schortsanitis|Los Angeles Clippers|Iraklis Thessaloniki B.C. (Greece)|2003|2|5|34
Szymon Szewczyk|Milwaukee Bucks|Basketball Lowen Braunschweig (Germany)|2003|2|6|35
Mario Austin|Chicago Bulls|Mississippi State|2003|2|7|36
Travis Hansen|Atlanta Hawks|Brigham Young|2003|2|8|37
Steve Blake|Washington Wizards|Maryland|2003|2|9|38
Slavko Vranes|New York Knicks|KK Buducnost Podgorica (Montenegro)|2003|2|10|39
Derrick Zimmerman|Golden State Warriors|Mississippi State|2003|2|11|40
Willie Green|Seattle SuperSonics|Detroit Mercy|2003|2|12|41
Zaza Pachulia|Orlando Magic|Ulkerspor (Turkey)|2003|2|13|42
Keith Bogans|Milwaukee Bucks|Kentucky|2003|2|14|43
Malick Badiane|Houston Rockets|TV Langen (Germany)|2003|2|15|44
Matt Bonner|Chicago Bulls|Florida|2003|2|16|45
Sani Becirovic|Denver Nuggets|Virtus Pallacanestro Bologna (Italy)|2003|2|17|46
Mo Williams|Utah Jazz|Alabama|2003|2|18|47
James Lang|New Orleans Hornets|Central Park Christian|2003|2|19|48
James Jones|Indiana Pacers|Miami (FL)|2003|2|20|49
Paccelis Morlende|Philadelphia 76ers|JDA Dijon Basket (France)|2003|2|21|50
Kyle Korver|New Jersey Nets|Creighton|2003|2|22|51
Remon Van de Hare|Toronto Raptors|FC Barcelona Basquet (Spain)|2003|2|23|52
Tommy Smith|Chicago Bulls|Arizona State|2003|2|24|53
Nedzad Sinanovic|Portland Trail Blazers|HKK Brotnjo (Bosnia and Herzegovina)|2003|2|25|54
Rick Rickert|Minnesota Timberwolves|Minnesota|2003|2|26|55
