Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Khalid El-Amin|Chicago Bulls|Connecticut|2000|2|5|34
Mike Smith|Washington Wizards|Louisiana-Monroe|2000|2|6|35
Soumaila Samake|New Jersey Nets|Cincinnati Stuff (IBL)|2000|2|7|36
Eddie House|Miami Heat|Arizona State|2000|2|8|37
Eduardo Najera|Houston Rockets|Oklahoma|2000|2|9|38
Lavor Postell|New York Knicks|St. John's (NY)|2000|2|10|39
Hanno Mottola|Atlanta Hawks|Utah|2000|2|11|40
Chris Carrawell|San Antonio Spurs|Duke|2000|2|12|41
Olumide Oyedeji|Seattle SuperSonics|DJK Wurzburg (Germany)|2000|2|13|42
Michael Redd|Milwaukee Bucks|Ohio State|2000|2|14|43
Brian Cardinal|Detroit Pistons|Purdue|2000|2|15|44
Jabari Smith|Sacramento Kings|Louisiana State|2000|2|16|45
DeeAndre Hulett|Toronto Raptors|Las Vegas Silver Bandits (IBL)|2000|2|17|46
Josip Sesar|Seattle SuperSonics|KK Cibona (Croatia)|2000|2|18|47
Mark Karcher|Philadelphia 76ers|Temple|2000|2|19|48
Jason Hart|Milwaukee Bucks|Syracuse|2000|2|20|49
Kaniel Dickens|Utah Jazz|Idaho|2000|2|21|50
Igor Rakocevic|Minnesota Timberwolves|Red Star Belgrade (Serbia)|2000|2|22|51
Ernest Brown|Miami Heat|Indian Hills Community College|2000|2|23|52
Dan McClintock|Denver Nuggets|Northern Arizona|2000|2|24|53
Cory Hightower|San Antonio Spurs|Indian Hills Community College|2000|2|25|54
Chris Porter|Golden State Warriors|Auburn|2000|2|26|55
Jaquay Walls|Indiana Pacers|Colorado|2000|2|27|56
Scoonie Penn|Atlanta Hawks|Ohio State|2000|2|28|57
Pete Mickeal|Dallas Mavericks|Cincinnati|2000|2|29|58
Elton Brand|Chicago Bulls|Duke|1999|1|1|1
Steve Francis|Vancouver Grizzlies|Maryland|1999|1|2|2
Baron Davis|Charlotte Hornets|California-Los Angeles|1999|1|3|3
Lamar Odom|Los Angeles Clippers|Rhode Island|1999|1|4|4
Jonathan Bender|Toronto Raptors|Picayune Memorial|1999|1|5|5
Wally Szczerbiak|Minnesota Timberwolves|Miami (OH)|1999|1|6|6
Richard Hamilton|Washington Wizards|Connecticut|1999|1|7|7
Andre Miller|Cleveland Cavaliers|Utah|1999|1|8|8
Shawn Marion|Phoenix Suns|Nevada-Las Vegas|1999|1|9|9
Jason Terry|Atlanta Hawks|Arizona|1999|1|10|10
Trajan Langdon|Cleveland Cavaliers|Duke|1999|1|11|11
Aleksandar Radojevic|Toronto Raptors|Barton Community College|1999|1|12|12
Corey Maggette|Seattle SuperSonics|Duke|1999|1|13|13
William Avery|Minnesota Timberwolves|Duke|1999|1|14|14
Frederic Weis|New York Knicks|Limoges CSP (France)|1999|1|15|15
Metta World Peace|Chicago Bulls|St. John's (NY)|1999|1|16|16
Cal Bowdler|Atlanta Hawks|Old Dominion|1999|1|17|17
James Posey|Denver Nuggets|Xavier|1999|1|18|18
Quincy Lewis|Utah Jazz|Minnesota|1999|1|19|19
Dion Glover|Atlanta Hawks|Georgia Tech|1999|1|20|20
Jeff Foster|Golden State Warriors|Texas State|1999|1|21|21
Kenny Thomas|Houston Rockets|New Mexico|1999|1|22|22
Devean George|Los Angeles Lakers|Augsburg|1999|1|23|23
Andrei Kirilenko|Utah Jazz|PBC CSKA Moscow (Russia)|1999|1|24|24
Tim James|Miami Heat|Miami (FL)|1999|1|25|25
