Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Jared Jordan|Los Angeles Clippers|Marist|2007|2|15|45
Stephane Lasme|Golden State Warriors|Massachusetts|2007|2|16|46
Dominic McGuire|Washington Wizards|Fresno State|2007|2|17|47
Marc Gasol|Los Angeles Lakers|CB Sant Josep (Spain)|2007|2|18|48
Aaron Gray|Chicago Bulls|Pittsburgh|2007|2|19|49
Renaldas Seibutis|Dallas Mavericks|Maroussi B.C. (Greece)|2007|2|20|50
JamesOn Curry|Chicago Bulls|Oklahoma State|2007|2|21|51
Taurean Green|Portland Trail Blazers|Florida|2007|2|22|52
Demetris Nichols|Portland Trail Blazers|Syracuse|2007|2|23|53
Brad Newley|Houston Rockets|Townsville Crocodiles (Australia)|2007|2|24|54
Herbert Hill|Utah Jazz|Providence|2007|2|25|55
Ramon Sessions|Milwaukee Bucks|Nevada-Reno|2007|2|26|56
Sammy Mejia|Detroit Pistons|DePaul|2007|2|27|57
Giorgos Printezis|San Antonio Spurs|Olympiacos B.C. (Greece)|2007|2|28|58
DJ Strawberry|Phoenix Suns|Maryland|2007|2|29|59
Milovan Rakovic|Dallas Mavericks|KK Mega Leks (Serbia)|2007|2|30|60
Andrea Bargnani|Toronto Raptors|Universo Treviso Basket (Italy)|2006|1|1|1
LaMarcus Aldridge|Chicago Bulls|Texas|2006|1|2|2
Adam Morrison|Charlotte Bobcats|Gonzaga|2006|1|3|3
Tyrus Thomas|Portland Trail Blazers|Louisiana State|2006|1|4|4
Shelden Williams|Atlanta Hawks|Duke|2006|1|5|5
Brandon Roy|Minnesota Timberwolves|Washington|2006|1|6|6
Randy Foye|Boston Celtics|Villanova|2006|1|7|7
Rudy Gay|Houston Rockets|Connecticut|2006|1|8|8
Patrick O'Bryant|Golden State Warriors|Bradley|2006|1|9|9
Mouhamed Sene|Seattle SuperSonics|VOO Wolves Verviers-Pepinster (Belgium)|2006|1|10|10
JJ Redick|Orlando Magic|Duke|2006|1|11|11
Hilton Armstrong|New Orleans/Oklahoma City Hornets|Connecticut|2006|1|12|12
Thabo Sefolosha|Philadelphia 76ers|Pallacanestro Biella (Italy)|2006|1|13|13
Ronnie Brewer|Utah Jazz|Arkansas|2006|1|14|14
Cedric Simmons|New Orleans/Oklahoma City Hornets|North Carolina State|2006|1|15|15
Rodney Carney|Chicago Bulls|Memphis|2006|1|16|16
Shawne Williams|Indiana Pacers|Memphis|2006|1|17|17
Oleksiy Pecherov|Washington Wizards|Paris Basket Racing (France)|2006|1|18|18
Quincy Douby|Sacramento Kings|Rutgers|2006|1|19|19
Renaldo Balkman|New York Knicks|South Carolina|2006|1|20|20
Rajon Rondo|Phoenix Suns|Kentucky|2006|1|21|21
Marcus Williams|New Jersey Nets|Connecticut|2006|1|22|22
Josh Boone|New Jersey Nets|Connecticut|2006|1|23|23
Kyle Lowry|Memphis Grizzlies|Villanova|2006|1|24|24
Shannon Brown|Cleveland Cavaliers|Michigan State|2006|1|25|25
Jordan Farmar|Los Angeles Lakers|California-Los Angeles|2006|1|26|26
Sergio Rodriguez|Phoenix Suns|CB Estudiantes (Spain)|2006|1|27|27
Maurice Ager|Dallas Mavericks|Michigan State|2006|1|28|28
Mardy Collins|New York Knicks|Temple|2006|1|29|29
Joel Freeland|Portland Trail Blazers|CB Gran Canaria (Spain)|2006|1|30|30
James White|Portland Trail Blazers|Cincinnati|2006|2|1|31
Steve Novak|Houston Rockets|Marquette|2006|2|2|32
Solomon Jones|Atlanta Hawks|South Florida|2006|2|3|33
Paul Davis|Los Angeles Clippers|Michigan State|2006|2|4|34
