Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Moussa Diabate|LA Clippers|Michigan|2022|2|13|43
Ryan Rollins|Atlanta Hawks|Toledo|2022|2|14|44
Josh Minott|Charlotte Hornets|Memphis|2022|2|15|45
Ismael Kamagate|Detroit Pistons|Paris (France)|2022|2|16|46
Vince Williams Jr.|Memphis Grizzlies|Virginia Commonwealth|2022|2|17|47
Kendall Brown|Minnesota Timberwolves|Baylor|2022|2|18|48
Isaiah Mobley|Cleveland Cavaliers|Southern California|2022|2|19|49
Matteo Spagnolo|Minnesota Timberwolves|Vanoli Cremona (Italy)|2022|2|20|50
Tyrese Martin|Golden State Warriors|Connecticut|2022|2|21|51
Karlo Matkovic|New Orleans Pelicans|Mega Mozzart (Serbia)|2022|2|22|52
JD Davison|Boston Celtics|Alabama|2022|2|23|53
Yannick Nzosa|Washington Wizards|Unicaja Baloncesto Malaga (Spain)|2022|2|24|54
Gui Santos|Golden State Warriors|Associacao Atletica Ponte Preta (Brazil)|2022|2|25|55
Luke Travers|Cleveland Cavaliers|Perth Wildcats (Australia)|2022|2|26|56
Jabari Walker|Portland Trail Blazers|Colorado|2022|2|27|57
Hugo Besson|Indiana Pacers|Breakers (New Zealand)|2022|2|28|58
Cade Cunningham|Detroit Pistons|Oklahoma State|2021|1|1|1
Jalen Green|Houston Rockets|Ignite (G League)|2021|1|2|2
Evan Mobley|Cleveland Cavaliers|Southern California|2021|1|3|3
Scottie Barnes|Toronto Raptors|Florida State|2021|1|4|4
Jalen Suggs|Orlando Magic|Gonzaga|2021|1|5|5
Josh Giddey|Oklahoma City Thunder|NBA Global Academy (Australia)|2021|1|6|6
Jonathan Kuminga|Golden State Warriors|Ignite (G League)|2021|1|7|7
Franz Wagner|Orlando Magic|Michigan|2021|1|8|8
Davion Mitchell|Sacramento Kings|Baylor|2021|1|9|9
Ziaire Williams|New Orleans Pelicans|Stanford|2021|1|10|10
James Bouknight|Charlotte Hornets|Connecticut|2021|1|11|11
Joshua Primo|San Antonio Spurs|Alabama|2021|1|12|12
Chris Duarte|Indiana Pacers|Oregon|2021|1|13|13
Moses Moody|Golden State Warriors|Arkansas|2021|1|14|14
Corey Kispert|Washington Wizards|Gonzaga|2021|1|15|15
Alperen Sengun|Oklahoma City Thunder|Besiktas (Turkey)|2021|1|16|16
Trey Murphy III|Memphis Grizzlies|Virginia|2021|1|17|17
Tre Mann|Oklahoma City Thunder|Florida|2021|1|18|18
Kai Jones|New York Knicks|Texas|2021|1|19|19
Jalen Johnson|Atlanta Hawks|Duke|2021|1|20|20
Keon Johnson|New York Knicks|Tennessee|2021|1|21|21
Isaiah Jackson|Los Angeles Lakers|Kentucky|2021|1|22|22
Usman Garuba|Houston Rockets|Madrid (ESP)|2021|1|23|23
Josh Christopher|Houston Rockets|Arizona State|2021|1|24|24
Quentin Grimes|LA Clippers|Houston|2021|1|25|25
Bones Hyland|Denver Nuggets|Virginia Commonwealth|2021|1|26|26
Cam Thomas|Brooklyn Nets|Louisiana State|2021|1|27|27
Jaden Springer|Philadelphia 76ers|Tennessee|2021|1|28|28
Day'Ron Sharpe|Phoenix Suns|North Carolina|2021|1|29|29
Santi Aldama|Utah Jazz|Loyola-Maryland|2021|1|30|30
Isaiah Todd|Milwaukee Bucks|Ignite (G League)|2021|2|1|31
Jeremiah Robinson-Earl|New York Knicks|Villanova|2021|2|2|32
Jason Preston|Orlando Magic|Ohio|2021|2|3|33
Rokas Jokubaitis|Oklahoma City Thunder|BC Zalgiris (Lithuania)|2021|2|4|34
