Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Jerry Bechtal|New York Knicks|Maryland|1960|15|2|91
Gene Jordan|Cincinnati Royals|Northwest Missouri State|1960|16|1|92
Jerry Schofield|New York Knicks|Utah State|1960|16|2|93
Ernie McCray|Cincinnati Royals|Arizona|1960|17|1|94
Tandy Gillis|New York Knicks|California|1960|17|2|95
Don Mills|Cincinnati Royals|Kentucky|1960|18|1|96
George Krajick|New York Knicks|Clemson|1960|18|2|97
Larry Willey|Cincinnati Royals|Cincinnati|1960|19|1|98
Tony Wilcox|Cincinnati Royals|Wittenberg|1960|20|1|99
Jim McDonald|Cincinnati Royals|West Virginia Wesleyan|1960|21|1|100
Bob Boozer|Cincinnati Royals|Kansas State|1959|1|1|1
Bailey Howell|Detroit Pistons|Mississippi State|1959|1|2|2
Tom Hawkins|Minneapolis Lakers|Notre Dame|1959|1|3|3
Dick Barnett|Syracuse Nationals|Tennessee State|1959|1|4|4
Johnny Green|New York Knicks|Michigan State|1959|1|5|5
John Richter|Boston Celtics|North Carolina State|1959|1|6|6
Tom Robitaille|Detroit Pistons|Rice|1959|2|1|7
Don Goldstein|Detroit Pistons|Louisville|1959|2|2|8
Joe Ruklick|Philadelphia Warriors|Northwestern|1959|2|3|9
Rudy LaRusso|Minneapolis Lakers|Dartmouth|1959|2|4|10
Gene Tormohlen|Syracuse Nationals|Tennessee|1959|2|5|11
Alan Seiden|St. Louis Hawks|St. John's (NY)|1959|2|6|12
Cal Ramsey|St. Louis Hawks|New York University|1959|2|7|13
Gene Guarilia|Boston Celtics|George Washington|1959|2|8|14
Mike Mendenhall|Cincinnati Royals|Cincinnati|1959|3|1|15
Gary Alcorn|Detroit Pistons|Fresno State|1959|3|2|16
Jim Hickaday|Philadelphia Warriors|Memphis|1959|3|3|17
Bobby Smith|Minneapolis Lakers|West Virginia|1959|3|4|18
Jon Cincebox|Syracuse Nationals|Syracuse|1959|3|5|19
Bob Anderegg|New York Knicks|Michigan State|1959|3|6|20
Hank Stein|St. Louis Hawks|Xavier|1959|3|7|21
Ralph Croswaite|Boston Celtics|Western Kentucky|1959|3|8|22
Leo Byrd|Cincinnati Royals|Marshall|1959|4|1|23
George Lee|Detroit Pistons|Michigan|1959|4|2|24
Ron Stevenson|Philadelphia Warriors|Texas Christian|1959|4|3|25
Wilson Eison|Minneapolis Lakers|Purdue|1959|4|4|26
Paul Neumann|Syracuse Nationals|Stanford|1959|4|5|27
Johnny Cox|New York Knicks|Kentucky|1959|4|6|28
Lee Harman|St. Louis Hawks|Oregon State|1959|4|7|29
Ed Kazakavich|Boston Celtics|Scranton|1959|4|8|30
Harry Kirchner|Cincinnati Royals|Texas Christian|1959|5|1|31
Tony Windis|Detroit Pistons|Wyoming|1959|5|2|32
Bill Telasky|Philadelphia Warriors|George Washington|1959|5|3|33
Bobby Joe Mason|Minneapolis Lakers|Bradley|1959|5|4|34
Roger Taylor|Syracuse Nationals|Illinois|1959|5|5|35
Herb Busch|New York Knicks|Virginia|1959|5|6|36
Nick Mantis|St. Louis Hawks|Northwestern|1959|5|7|37
Don Lange|Boston Celtics|William & Mary|1959|5|8|38
Don Hennon|Cincinnati Royals|Pittsburgh|1959|6|1|39
Lou Jordan|Detroit Pistons|Cornell|1959|6|2|40
