Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Bobby Simmons|Seattle SuperSonics|DePaul|2001|2|13|41
Eric Chenowith|New York Knicks|Kansas|2001|2|14|42
Kyle Hill|Dallas Mavericks|Eastern Illinois|2001|2|15|43
Sean Lampley|Chicago Bulls|California|2001|2|16|44
Loren Woods|Minnesota Timberwolves|Arizona|2001|2|17|45
Ousmane Cisse|Denver Nuggets|St. Jude Educational Institute|2001|2|18|46
Antonis Fotsis|Memphis Grizzlies|Panathinaikos B.C. (Greece)|2001|2|19|47
Ken Johnson|Miami Heat|Ohio State|2001|2|20|48
Ruben Boumtje-Boumtje|Portland Trail Blazers|Georgetown|2001|2|21|49
Alton Ford|Phoenix Suns|Houston|2001|2|22|50
Andre Hutson|Milwaukee Bucks|Michigan State|2001|2|23|51
Jarron Collins|Utah Jazz|Stanford|2001|2|24|52
Kenny Satterfield|Dallas Mavericks|Cincinnati|2001|2|25|53
Maurice Jeffers|Sacramento Kings|Saint Louis|2001|2|26|54
Robertas Javtokas|San Antonio Spurs|BC Lietuvos rytas (Lithuania)|2001|2|27|55
Alvin Jones|Philadelphia 76ers|Georgia Tech|2001|2|28|56
Bryan Bracey|San Antonio Spurs|Oregon|2001|2|29|57
Kenyon Martin|New Jersey Nets|Cincinnati|2000|1|1|1
Stromile Swift|Vancouver Grizzlies|Louisiana State|2000|1|2|2
Darius Miles|Los Angeles Clippers|East St. Louis|2000|1|3|3
Marcus Fizer|Chicago Bulls|Iowa State|2000|1|4|4
Mike Miller|Orlando Magic|Florida|2000|1|5|5
DerMarr Johnson|Atlanta Hawks|Cincinnati|2000|1|6|6
Chris Mihm|Chicago Bulls|Texas|2000|1|7|7
Jamal Crawford|Cleveland Cavaliers|Michigan|2000|1|8|8
Joel Przybilla|Houston Rockets|Minnesota|2000|1|9|9
Keyon Dooling|Orlando Magic|Missouri|2000|1|10|10
Jerome Moiso|Boston Celtics|California-Los Angeles|2000|1|11|11
Etan Thomas|Dallas Mavericks|Syracuse|2000|1|12|12
Courtney Alexander|Orlando Magic|Fresno State|2000|1|13|13
Mateen Cleaves|Detroit Pistons|Michigan State|2000|1|14|14
Jason Collier|Milwaukee Bucks|Georgia Tech|2000|1|15|15
Hedo Turkoglu|Sacramento Kings|Anadolu Efes S.K. (Turkey)|2000|1|16|16
Desmond Mason|Seattle SuperSonics|Oklahoma State|2000|1|17|17
Quentin Richardson|Los Angeles Clippers|DePaul|2000|1|18|18
Jamaal Magloire|Charlotte Hornets|Kentucky|2000|1|19|19
Speedy Claxton|Philadelphia 76ers|Hofstra|2000|1|20|20
Morris Peterson|Toronto Raptors|Michigan State|2000|1|21|21
Donnell Harvey|New York Knicks|Florida|2000|1|22|22
DeShawn Stevenson|Utah Jazz|Washington Union|2000|1|23|23
Dalibor Bagaric|Chicago Bulls|KK Dubrava (Croatia)|2000|1|24|24
Jake Tsakalidis|Phoenix Suns|A.E.K. Athens B.C. (Greece)|2000|1|25|25
Mamadou N'diaye|Denver Nuggets|Auburn|2000|1|26|26
Primoz Brezec|Indiana Pacers|KK Olimpija (Slovenia)|2000|1|27|27
Erick Barkley|Portland Trail Blazers|St. John's (NY)|2000|1|28|28
Mark Madsen|Los Angeles Lakers|Stanford|2000|1|29|29
Marko Jaric|Los Angeles Clippers|Fortitudo Pallacanestro Bologna (Italy)|2000|2|1|30
Dan Langhi|Dallas Mavericks|Vanderbilt|2000|2|2|31
A.J. Guyton|Chicago Bulls|Indiana|2000|2|3|32
Jake Voskuhl|Chicago Bulls|Connecticut|2000|2|4|33
