Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Joe Spratt|Philadelphia Warriors|Saint Joseph's|1959|6|3|41
Jim Henry|Minneapolis Lakers|Vanderbilt|1959|6|4|42
Bob Dalton|Syracuse Nationals|California|1959|6|5|43
Bucky McDonald|New York Knicks|George Washington|1959|6|6|44
Mike Moran|St. Louis Hawks|Marquette|1959|6|7|45
Bob Cumings|Boston Celtics|Boston University|1959|6|8|46
Dale Moore|Cincinnati Royals|Eastern Kentucky|1959|7|1|47
Doug Smart|Detroit Pistons|Washington|1959|7|2|48
Joe Ryan|Philadelphia Warriors|Villanova|1959|7|3|49
Charley Grote|Minneapolis Lakers|Georgetown (KY)|1959|7|4|50
Darnell Haney|Syracuse Nationals|Utah State|1959|7|5|51
Russ Robinson|New York Knicks|Missouri State|1959|7|6|52
Orby Arnold|St. Louis Hawks|Memphis|1959|7|7|53
Don Matuszak|Cincinnati Royals|Kansas State|1959|8|1|54
Chuck Curtis|Detroit Pistons|Pacific Lutheran|1959|8|2|55
Dave Gunther|Philadelphia Warriors|Iowa|1959|8|3|56
Leon Hill|Minneapolis Lakers|Texas Tech|1959|8|4|57
Walt Torrence|New York Knicks|California-Los Angeles|1959|8|5|58
Willie Merriweather|St. Louis Hawks|Purdue|1959|8|6|59
Joe Billy McDade|Cincinnati Royals|Bradley|1959|9|1|60
Doyle Edmiston|Detroit Pistons|Hardin-Simmons|1959|9|2|61
Carl Belz|Philadelphia Warriors|Princeton|1959|9|3|62
Jim Mudd|Minneapolis Lakers|North Texas|1959|9|4|63
Jerry Shipp|New York Knicks|Southeastern Oklahoma State|1959|9|5|64
Lou Pucillo|St. Louis Hawks|North Carolina State|1959|9|6|65
Joe Viviano|Cincinnati Royals|Xavier|1959|10|1|66
Bruno Boin|Detroit Pistons|Washington|1959|10|2|67
Tony Sellari|Philadelphia Warriors|Lenoir-Rhyne|1959|10|3|68
Roger Johnson|Minneapolis Lakers|Minnesota|1959|10|4|69
Paul Wilcox|New York Knicks|Davis & Elkins|1959|10|5|70
Ron Loneski|St. Louis Hawks|Kansas|1959|10|6|71
Charley Brown|Cincinnati Royals|Seattle|1959|11|1|72
M. C. Burton|Detroit Pistons|Michigan|1959|11|2|73
Phil Warren|Philadelphia Warriors|Northwestern|1959|11|3|74
Jack Evans|Minneapolis Lakers|Lake Superior State|1959|11|4|75
Paul Benes|New York Knicks|Hope|1959|11|5|76
John Barnhill|St. Louis Hawks|Tennessee State|1959|11|6|77
Roger Wendel|Cincinnati Royals|Tulsa|1959|12|1|78
Vern Baggenstoss|Minneapolis Lakers|St. Cloud State|1959|12|2|79
Ed Blair|New York Knicks|Western Michigan|1959|12|3|80
Dwayne Smith|Minneapolis Lakers|Gustavus Adolphus|1959|13|1|81
John Nicoll|New York Knicks|Brigham Young|1959|13|2|82
Jack Israel|New York Knicks|Missouri State|1959|14|1|83
Wilt Chamberlain|Philadelphia Warriors|Kansas|1959|0|0|0
Bob Ferry|St. Louis Hawks|Saint Louis|1959|0|0|0
Elgin Baylor|Minneapolis Lakers|Seattle|1958|1|1|1
Archie Dees|Cincinnati Royals|Indiana|1958|1|2|2
Mike Farmer|New York Knicks|San Francisco|1958|1|3|3
Pete Brennan|New York Knicks|North Carolina|1958|1|4|4
Connie Dierking|Syracuse Nationals|Cincinnati|1958|1|5|5
